월,고유주차,주차,과목,시작일,세부 계획,Gemini 질문 예시,학습 완료
2027-05,102,3주차,회계학,2027-05-18,,,False
2027-05,103,4주차,부동산학,2027-05-25,,,False
2027-06,104,1주차,감정평가관계법규,2027-06-01,,,False
2027-06,105,2주차,민법,2027-06-08,,,False
2027-06,106,3주차,경제학,2027-06-15,,,False
2027-06,107,4주차,회계학,2027-06-22,,,False
2027-06,108,5주차,부동산학,2027-06-29,,,False
2027-07,109,1주차,감정평가관계법규,2027-07-06,,,False
2027-07,110,2주차,민법,2027-07-13,,,False
2027-07,111,3주차,경제학,2027-07-20,,,False
2027-07,112,4주차,회계학,2027-07-27,,,False
2027-08,113,1주차,부동산학,2027-08-03,,,False
2027-08,114,2주차,감정평가관계법규,2027-08-10,,,False
2027-08,115,3주차,민법,2027-08-17,,,False
2027-08,116,4주차,경제학,2027-08-24,,,False
2027-08,117,5주차,회계학,2027-08-31,,,False
2027-09,118,1주차,부동산학,2027-09-07,,,False
2027-09,119,2주차,감정평가관계법규,2027-09-14,,,False
2027-09,120,3주차,민법,2027-09-21,,,False
2027-09,121,4주차,경제학,2027-09-28,,,False
2027-10,122,1주차,회계학,2027-10-05,,,False
2027-10,123,2주차,부동산학,2027-10-12,,,False
2027-10,124,3주차,감정평가관계법규,2027-10-19,,,False
2027-10,125,4주차,민법,2027-10-26,,,False
2027-11,126,1주차,경제학,2027-11-02,,,False
2027-11,127,2주차,회계학,2027-11-09,,,False
2027-11,128,3주차,부동산학,2027-11-16,,,False
2027-11,129,4주차,감정평가관계법규,2027-11-23,,,False
2027-11,130,5주차,민법,2027-11-30,,,False
2027-12,131,1주차,경제학,2027-12-07,,,False
2027-12,132,2주차,회계학,2027-12-14,,,False
2027-12,133,3주차,부동산학,2027-12-21,,,False
2027-12,134,4주차,감정평가관계법규,2027-12-28,,,False
2028-01,135,1주차,민법,2028-01-04,,,False
2028-01,136,2주차,경제학,2028-01-11,,,False
2028-01,137,3주차,회계학,2028-01-18,,,False
2028-01,138,4주차,부동산학,2028-01-25,,,False
2028-02,139,1주차,감정평가관계법규,2028-02-01,,,False
2028-02,140,2주차,민법,2028-02-08,,,False
2028-02,141,3주차,경제학,2028-02-15,,,False
2028-02,142,4주차,회계학,2028-02-22,,,False
2028-02,143,5주차,부동산학,2028-02-29,,,False
2028-03,144,1주차,감정평가관계법규,2028-03-07,,,False
2028-03,145,2주차,민법,2028-03-14,,,False
2028-03,146,3주차,경제학,2028-03-21,,,False
2028-03,147,4주차,회계학,2028-03-28,,,False
2028-04,148,1주차,부동산학,2028-04-04,,,False
2028-04,149,2주차,감정평가관계법규,2028-04-11,,,False
2028-04,150,3주차,민법,2028-04-18,,,False
2028-04,151,4주차,경제학,2028-04-25,,,False
2028-05,152,1주차,회계학,2028-05-02,,,False
2028-05,153,2주차,부동산학,2028-05-09,,,False
2028-05,154,3주차,감정평가관계법규,2028-05-16,,,False
2028-05,155,4주차,민법,2028-05-23,,,False
